COMUNE,POPOLAZIONE 1/1/2019,SUPERFICIE 1/1/2019,COD_CAT,INDICE D (QUINTILI),INDICE P (QUINTILI),INDICE T (QUINTILI),INDICE DI SINTESI (QUINTILI)
Vauda Canavese,"1,447",7.09,Q,,,,
Venaus,882,19.14,E,D4,P1,T1,S1
Venaria Reale,"33,564",20.44,B,D3,P5,T2,S3
Verolengo,"4,841",29.49,P,D1,P1,T2,S1
Verrua Savoia,"1,398",31.94,P,D1,P1,T4,S2
Vestignè,796,12.07,Q,,,,
Vialfrè,242,4.65,Q,,,,
Vidracco,528,2.97,P,D3,P4,T5,S5
Vigone,"5,163",41.15,P,D1,P3,T1,S2
Villafranca Piemonte,"4,616",50.79,P,D1,P1,T1,S1
Villanova Canavese,"1,212",4.03,Q,,,,
Villarbasse,"3,455",10.41,P,D1,P2,T2,S2
Villar Dora,"2,892",5.71,Q,,,,
Villareggia,"1,055",11.41,P,D1,P3,T5,S4
Villar Focchiardo,"1,967",25.69,P,D2,P1,T4,S1
Villar Pellice,"1,069",60.29,E,D5,P2,T4,S4
Villar Perosa,"4,048",11.42,P,D1,P1,T1,S1
Villastellone,"4,659",19.88,P,D1,P1,T1,S1
Vinovo,"15,144",17.69,P,D1,P3,T2,S2
Virle Piemonte,"1,173",14.06,Q,,,,
Vische,"1,268",17.07,P,D1,P3,T4,S2
Vistrorio,531,4.68,Q,,,,
Viù,"1,016",84.11,E,D5,P5,T4,S5
Volpiano,"15,450",32.46,P,D3,P5,T1,S3
Volvera,"8,639",20.98,P,D1,P4,T1,S2
Mappano,"7,339",9.76,Q,,,,
Val di Chy,"1,282",13.83,P,D4,P1,T4,S2
Valchiusa,"1,032",49.62,P,D2,P2,T5,S4
Alagna Valsesia,708,133.17,H,D5,P5,T5,S5
Albano Vercellese,321,13.78,Q,,,,
Alice Castello,"2,580",24.57,P,D1,P2,T4,S2
Arborio,862,23.31,P,D1,P3,T1,S2
Asigliano Vercellese,"1,442",26.32,Q,,,,
Balmuccia,112,9.79,P,D3,P1,T4,S2
Balocco,227,16.81,Q,,,,
Bianzè,"1,916",41.81,P,D1,P5,T1,S3
Boccioleto,178,33.87,E,D5,P1,T5,S4
Borgo d'Ale,"2,341",39.57,P,D1,P1,T4,S1
Borgosesia,"12,571",41.09,P,D1,P1,T2,S1
Borgo Vercelli,"2,250",19.29,Q,,,,
Buronzo,863,25.08,Q,,,,
Campertogno,235,34.14,E,D5,P3,T4,S5
Carcoforo,76,22.80,P,D5,P1,T5,S5
Caresana,"1,059",24.11,Q,,,,
Caresanablot,"1,123",11.02,Q,,,,
Carisio,806,30.11,P,D4,P5,T5,S5
Casanova Elvo,223,16.21,Q,,,,
San Giacomo Vercellese,294,9.60,Q,,,,
Cervatto,58,9.54,Q,,,,
Cigliano,"4,426",25.31,P,D2,P3,T2,S2
Civiasco,254,7.39,Q,,,,
Collobiano,88,9.22,P,D4,P5,T5,S5
Costanzana,757,20.97,Q,,,,
Cravagliana,250,34.86,E,D4,P1,T5,S5
Crescentino,"7,786",48.22,P,D1,P4,T1,S3
Crova,411,14.02,Q,,,,
Desana,"1,064",16.48,P,D2,P1,T1,S1
Fobello,192,28.14,H,D5,P1,T2,S3
Fontanetto Po,"1,103",23.24,P,D1,P1,T4,S3
Formigliana,504,16.76,Q,,,,
Gattinara,"7,825",33.67,P,D2,P3,T2,S2
Ghislarengo,857,12.50,Q,,,,
Greggio,349,11.88,Q,,,,
Guardabosone,338,6.09,Q,,,,
Lamporo,508,9.64,Q,,,,
Lenta,833,18.97,Q,,,,
Lignana,557,22.57,Q,,,,
Livorno Ferraris,"4,334",58.03,Q,,,,
Lozzolo,824,6.67,P,D1,P1,T1,S1
Mollia,98,13.92,E,D4,P1,T5,S4
Moncrivello,"1,395",20.18,Q,,,,
Motta de' Conti,763,11.72,P,D1,P4,T4,S4
Olcenengo,782,16.50,Q,,,,
Oldenico,219,6.53,Q,,,,
Palazzolo Vercellese,"1,187",13.94,P,D1,P3,T1,S1
Pertengo,296,8.29,Q,,,,
Pezzana,"1,292",17.35,Q,,,,
Pila,138,8.69,E,D4,P4,T4,S4
Piode,180,13.60,E,D5,P2,T4,S4
Postua,578,16.18,Q,,,,
Prarolo,726,11.54,Q,,,,
Quarona,"4,001",16.16,P,D2,P4,T1,S2
Quinto Vercellese,399,10.90,Q,,,,
Rassa,64,43.27,P,D5,P1,T5,S5
Rimella,135,26.27,E,D5,P2,T5,S5
Rive,447,9.41,Q,,,,
Roasio,"2,336",27.92,Q,,,,
Ronsecco,567,24.48,Q,,,,
Rossa,178,11.84,E,D5,P3,T4,S4
Rovasenda,929,29.27,Q,,,,
Salasco,225,12.19,Q,,,,
Sali Vercellese,105,8.78,Q,,,,
Saluggia,"3,916",31.60,P,D1,P3,T1,S1
San Germano Vercellese,"1,544",30.63,Q,,,,
Santhià,"8,468",53.13,P,D2,P3,T4,S2
Scopa,391,22.53,E,D5,P3,T1,S4
Scopello,362,18.25,E,D5,P4,T5,S5
Serravalle Sesia,"4,891",20.91,P,D1,P3,T1,S1
Stroppiana,"1,194",18.31,Q,,,,
Tricerro,694,12.25,P,D1,P1,T1,S1
Trino,"7,029",70.61,P,D2,P3,T1,S2
Tronzano Vercellese,"3,454",44.75,P,D1,P1,T1,S1
Valduggia,"1,959",28.43,Q,,,,
Varallo,"7,139",102.97,B,D4,P3,T4,S3
Vercelli,"46,035",79.77,B,D3,P5,T4,S4
Villarboit,427,25.51,Q,,,,
Villata,"1,564",14.58,P,D1,P4,T2,S3
Vocca,161,20.26,Q,,,,
Alto Sermenza,157,60.33,E,D5,P2,T5,S5
Cellio con Breia,981,17.28,P,D2,P3,T1,S1
Agrate Conturbia,"1,549",14.54,P,D3,P3,T5,S5
Ameno,953,10.00,D,D4,P4,T4,S4
Armeno,"2,196",31.52,D,D4,P4,T4,S4
Arona,"13,952",15.17,L,D4,P5,T4,S5
Barengo,788,19.49,Q,,,,
Bellinzago Novarese,"9,579",39.18,P,D1,P3,T4,S3
Biandrate,"1,302",12.45,P,D1,P3,T1,S1
Boca,"1,198",9.61,P,D1,P2,T4,S3
Bogogno,"1,276",8.51,P,D5,P5,T4,S5
Bolzano Novarese,"1,197",3.30,P,D1,P2,T1,S1
Borgolavezzaro,"2,030",21.09,P,D1,P2,T2,S1
Borgomanero,"21,666",32.27,P,D2,P4,T2,S3
Borgo Ticino,"5,166",13.37,P,D1,P2,T2,S1
Briga Novarese,"2,834",4.75,P,D3,P4,T4,S3
Briona,"1,152",24.76,Q,,,,
Caltignaga,"2,517",22.32,P,D1,P3,T1,S1
Cameri,"10,856",39.99,P,D3,P5,T1,S4
Carpignano Sesia,"2,518",14.66,P,D1,P4,T4,S3
Casalbeltrame,938,16.04,Q,,,,
Casaleggio Novara,915,10.53,P,D1,P4,T4,S3
Casalino,"1,525",39.49,P,D5,P5,T1,S5
Casalvolone,864,17.48,Q,,,,
Castellazzo Novarese,319,10.79,Q,,,,
Castelletto sopra Ticino,"9,915",14.64,D,D5,P4,T4,S5
Cavaglietto,383,6.49,Q,,,,
Cavaglio d'Agogna,"1,172",9.83,Q,,,,
Cavallirio,"1,343",8.33,P,D1,P1,T1,S1
Cerano,"6,764",32.63,P,D1,P3,T1,S2
Colazza,451,3.16,P,D3,P1,T4,S1
Comignago,"1,259",4.45,P,D1,P1,T2,S1
Cressa,"1,605",7.10,Q,,,,
Cureggio,"2,636",8.51,P,D1,P2,T1,S1
Divignano,"1,414",5.10,Q,,,,
Dormelletto,"2,585",7.25,D,D5,P5,T4,S5
Fara Novarese,"2,037",9.21,P,D1,P4,T4,S3
Fontaneto d'Agogna,"2,651",21.17,P,D4,P5,T2,S4
Galliate,"15,719",29.37,P,D3,P3,T2,S3
Garbagna Novarese,"1,433",10.05,Q,,,,
Gargallo,"1,767",3.75,P,D1,P1,T2,S1
Ghemme,"3,499",20.64,P,D1,P3,T1,S2
Gozzano,"5,561",12.58,D,D3,P4,T1,S2
Granozzo con Monticello,"1,381",19.52,P,D5,P5,T4,S5
Grignasco,"4,478",14.33,P,D1,P4,T4,S3
Invorio,"4,394",17.37,P,D1,P3,T1,S1
Landiona,563,7.28,Q,,,,
Lesa,"2,211",13.58,D,D5,P4,T4,S4
Maggiora,"1,658",10.66,P,D1,P3,T1,S1
Mandello Vitta,228,5.85,Q,,,,
Marano Ticino,"1,651",7.79,Q,,,,
Massino Visconti,"1,050",6.86,D,D4,P4,T4,S4
Meina,"2,422",7.53,D,D5,P4,T5,S5
Mezzomerico,"1,229",7.72,P,D2,P2,T1,S1
Miasino,794,5.52,D,D3,P3,T2,S2
Momo,"2,494",23.59,P,D2,P3,T2,S2
Nebbiuno,"1,809",8.27,D,D4,P4,T4,S4
Nibbiola,827,11.34,Q,,,,
Novara,"104,279",103.05,B,D4,P5,T4,S4
Oleggio,"14,156",37.79,B,D3,P5,T2,S4
Oleggio Castello,"2,177",5.94,D,D5,P5,T2,S5
Orta San Giulio,"1,322",6.65,L,D5,P5,T5,S5
Paruzzaro,"2,185",5.23,P,D2,P2,T1,S1
Pella,952,8.13,D,D5,P3,T4,S4
Pettenasco,"1,374",7.07,D,D5,P5,T5,S5
Pisano,816,2.77,P,D2,P2,T4,S4
Pogno,"1,415",9.87,P,D1,P1,T1,S1
Pombia,"2,171",12.30,P,D4,P2,T4,S3
Prato Sesia,"1,868",12.13,P,D1,P4,T1,S2
Recetto,963,8.85,Q,,,,
Romagnano Sesia,"3,894",17.98,P,D1,P4,T4,S4
Romentino,"5,621",17.69,P,D1,P4,T1,S3
San Maurizio d'Opaglio,"3,055",8.51,P,D2,P3,T1,S1
San Nazzaro Sesia,738,11.45,Q,,,,
San Pietro Mosezzo,"1,995",34.90,P,D1,P4,T1,S2
Sillavengo,562,9.54,P,D4,P5,T4,S5
Sizzano,"1,430",10.75,P,D1,P1,T2,S1
Soriso,761,6.37,P,D1,P3,T4,S4
Sozzago,"1,070",12.91,Q,,,,
Suno,"2,765",21.33,P,D2,P3,T1,S2
