COMUNE,POPOLAZIONE 1/1/2019,SUPERFICIE 1/1/2019,COD_CAT,INDICE D (QUINTILI),INDICE P (QUINTILI),INDICE T (QUINTILI),INDICE DI SINTESI (QUINTILI)
Oppido Mamertina,"5,204",58.87,Q,,,,
Palizzi,"2,393",52.62,P,D4,P1,T4,S1
Palmi,"18,744",32.12,G,D5,P2,T4,S4
Pazzano,525,15.57,Q,,,,
Placanica,"1,141",29.51,Q,,,,
Platì,"3,798",50.87,Q,,,,
Polistena,"10,361",11.77,P,D2,P5,T2,S4
Portigliola,"1,158",6.00,P,D4,P1,T4,S1
Reggio di Calabria,"180,369",239.04,G,D4,P4,T4,S4
Riace,"2,321",16.24,C,D4,P2,T4,S3
Rizziconi,"7,775",40.22,P,D1,P1,T4,S2
Roccaforte del Greco,425,43.86,Q,,,,
Roccella Ionica,"6,416",37.82,C,D4,P4,T4,S4
Roghudi,"1,000",46.92,Q,,,,
Rosarno,"14,796",39.56,P,D2,P4,T2,S3
Samo,777,50.22,Q,,,,
San Giorgio Morgeto,"3,030",35.40,Q,,,,
San Giovanni di Gerace,461,13.57,Q,,,,
San Lorenzo,"2,546",64.52,P,D2,P1,T4,S1
San Luca,"3,718",105.34,Q,,,,
San Pietro di Caridà,"1,144",48.08,Q,,,,
San Procopio,529,11.36,Q,,,,
San Roberto,"1,653",34.64,P,D2,P2,T2,S1
Santa Cristina d'Aspromonte,848,23.41,Q,,,,
Sant'Agata del Bianco,589,20.20,Q,,,,
Sant'Alessio in Aspromonte,327,3.99,Q,,,,
Sant'Eufemia d'Aspromonte,"4,009",32.88,P,D5,P1,T1,S1
Sant'Ilario dello Ionio,"1,405",14.00,Q,,,,
Santo Stefano in Aspromonte,"1,267",17.80,H,D5,P4,T5,S5
Scido,890,17.53,Q,,,,
Scilla,"4,852",44.13,G,D4,P3,T5,S4
Seminara,"2,656",33.85,P,D3,P2,T2,S1
Serrata,803,22.06,Q,,,,
Siderno,"18,147",31.86,C,D4,P3,T4,S3
Sinopoli,"1,998",25.21,Q,,,,
Staiti,225,16.31,Q,,,,
Stignano,"1,360",17.76,P,D2,P1,T4,S1
Stilo,"2,541",78.11,B,D2,P2,T4,S2
Taurianova,"15,458",48.54,P,D1,P1,T2,S1
Terranova Sappo Minulio,512,9.12,Q,,,,
Varapodio,"2,069",29.12,Q,,,,
Villa San Giovanni,"13,534",12.17,C,D5,P3,T4,S4
San Ferdinando,"5,099",14.20,C,D5,P1,T1,S2
Alcamo,"45,190",130.89,C,D3,P4,T2,S3
Buseto Palizzolo,"2,919",72.81,P,D4,P2,T2,S2
Calatafimi-Segesta,"6,495",154.86,B,D2,P4,T4,S3
Campobello di Mazara,"11,745",65.83,C,D4,P4,T4,S3
Castellammare del Golfo,"15,158",127.32,C,D5,P4,T4,S4
Castelvetrano,"31,151",209.76,G,D5,P5,T4,S5
Custonaci,"5,496",69.90,C,D4,P3,T1,S2
Erice,"27,465",47.34,L,D4,P4,T4,S4
Favignana,"4,337",38.31,G,D5,P5,T5,S5
Gibellina,"3,981",46.57,P,D1,P4,T4,S3
Marsala,"82,640",243.26,G,D4,P4,T4,S4
Mazara del Vallo,"51,553",274.74,C,D4,P4,T4,S4
Paceco,"11,221",58.01,G,D3,P3,T4,S3
Pantelleria,"7,702",84.53,G,D5,P4,T5,S5
Partanna,"10,337",82.73,Q,,,,
Poggioreale,"1,478",37.46,P,D2,P2,T4,S2
Salaparuta,"1,639",41.42,P,D1,P1,T1,S1
Salemi,"10,532",182.42,P,D1,P3,T2,S2
Santa Ninfa,"4,969",60.94,P,D2,P3,T4,S2
San Vito Lo Capo,"4,767",60.12,C,D5,P5,T5,S5
Trapani,"67,531",273.13,G,D4,P4,T4,S4
Valderice,"12,113",52.96,C,D4,P3,T4,S4
Vita,"1,946",9.10,P,D1,P1,T1,S1
Petrosino,"8,127",45.28,C,D5,P3,T4,S4
Alia,"3,475",45.97,P,D2,P2,T2,S2
Alimena,"1,917",59.70,Q,,,,
Aliminusa,"1,173",13.68,Q,,,,
Altavilla Milicia,"8,349",23.78,C,D4,P3,T4,S4
Altofonte,"10,127",35.44,Q,,,,
Bagheria,"54,714",29.84,P,D2,P4,T2,S3
Balestrate,"6,491",6.43,C,D4,P3,T5,S4
Baucina,"1,939",24.47,Q,,,,
Belmonte Mezzagno,"11,238",29.29,Q,,,,
Bisacquino,"4,387",64.97,P,D1,P2,T1,S1
Bolognetta,"4,194",27.63,P,D1,P3,T5,S4
Bompietro,"1,302",42.41,P,D1,P1,T4,S1
Borgetto,"7,359",26.02,Q,,,,
Caccamo,"8,081",188.23,Q,,,,
Caltavuturo,"3,867",97.95,P,D1,P2,T2,S1
Campofelice di Fitalia,478,35.46,P,D3,P1,T5,S4
Campofelice di Roccella,"7,645",14.51,C,D5,P5,T5,S5
Campofiorito,"1,237",21.70,Q,,,,
Camporeale,"3,193",38.72,Q,,,,
Capaci,"11,604",6.12,Q,,,,
Carini,"39,049",76.59,P,D2,P2,T2,S2
Castelbuono,"8,619",60.79,C,D3,P4,T4,S3
Casteldaccia,"11,688",33.92,P,D3,P1,T2,S1
Castellana Sicula,"3,256",73.20,P,D1,P3,T4,S2
Castronovo di Sicilia,"2,992",201.04,Q,,,,
Cefalà Diana,"1,008",9.06,Q,,,,
Cefalù,"14,309",66.24,G,D5,P5,T5,S5
Cerda,"5,130",43.83,P,D1,P3,T4,S2
Chiusa Sclafani,"2,728",57.55,P,D2,P2,T2,S2
Ciminna,"3,629",56.42,P,D1,P4,T2,S3
Cinisi,"12,264",33.16,G,D4,P3,T4,S4
Collesano,"3,953",108.16,P,D3,P2,T4,S2
Contessa Entellina,"1,668",136.48,P,D1,P2,T2,S1
Corleone,"11,008",229.45,P,D1,P3,T4,S2
Ficarazzi,"13,006",3.53,P,D3,P5,T2,S3
Gangi,"6,565",127.46,P,D3,P3,T4,S3
Geraci Siculo,"1,788",113.35,P,D2,P3,T1,S2
Giardinello,"2,284",12.88,Q,,,,
Giuliana,"1,835",24.14,Q,,,,
Godrano,"1,172",39.20,Q,,,,
Gratteri,910,38.17,Q,,,,
Isnello,"1,465",51.00,P,D3,P2,T5,S4
Isola delle Femmine,"7,155",3.57,C,D5,P5,T4,S5
Lascari,"3,617",10.33,C,D3,P3,T4,S3
Lercara Friddi,"6,726",37.43,P,D1,P1,T1,S1
Marineo,"6,490",33.22,P,D1,P2,T2,S1
Mezzojuso,"2,844",49.25,Q,,,,
Misilmeri,"29,382",69.49,Q,,,,
Monreale,"38,884",530.18,B,D3,P4,T4,S3
Montelepre,"6,080",9.89,P,D2,P2,T4,S3
Montemaggiore Belsito,"3,179",32.08,Q,,,,
Palazzo Adriano,"1,979",130.10,P,D2,P2,T4,S2
Palermo,"663,401",160.59,A,D5,P5,T5,S5
Partinico,"31,840",108.06,P,D2,P2,T1,S1
Petralia Soprana,"3,166",56.10,E,D3,P3,T4,S3
Petralia Sottana,"2,677",178.34,H,D4,P3,T2,S3
Piana degli Albanesi,"6,070",64.92,P,D1,P2,T2,S2
Polizzi Generosa,"3,196",134.66,E,D4,P3,T4,S3
Pollina,"2,928",49.93,L,D5,P5,T5,S5
Prizzi,"4,645",95.04,Q,,,,
Roccamena,"1,450",33.72,Q,,,,
Roccapalumba,"2,389",31.57,P,D1,P1,T4,S3
San Cipirello,"5,293",20.85,P,D1,P1,T1,S1
San Giuseppe Jato,"8,554",29.78,Q,,,,
San Mauro Castelverde,"1,542",114.37,P,D2,P1,T1,S1
Santa Cristina Gela,"1,004",38.74,E,D3,P3,T4,S3
Santa Flavia,"11,208",14.60,G,D5,P4,T4,S5
Sciara,"2,778",31.19,Q,,,,
Sclafani Bagni,418,134.90,E,D4,P2,T4,S4
Termini Imerese,"25,861",76.69,P,D3,P1,T2,S1
Terrasini,"12,688",19.85,C,D5,P3,T5,S5
Torretta,"4,306",25.54,Q,,,,
Trabia,"10,496",22.08,P,D4,P2,T4,S3
Trappeto,"3,140",4.19,P,D4,P2,T4,S4
Ustica,"1,318",8.24,C,D5,P2,T5,S5
Valledolmo,"3,454",25.78,P,D1,P1,T1,S1
Ventimiglia di Sicilia,"1,882",26.90,P,D1,P1,T2,S1
Vicari,"2,623",86.01,Q,,,,
Villabate,"19,960",3.80,Q,,,,
Villafrati,"3,301",25.64,Q,,,,
Scillato,612,31.70,P,D3,P1,T5,S4
Blufi,956,21.98,P,D1,P1,T1,S1
Alcara li Fusi,"1,861",62.93,P,D1,P2,T4,S2
Alì,734,15.94,Q,,,,
Alì Terme,"2,431",6.27,L,D4,P2,T4,S3
Antillo,868,43.63,Q,,,,
Barcellona Pozzo di Gotto,"41,221",59.14,P,D3,P2,T4,S2
Basicò,594,12.07,Q,,,,
Brolo,"5,773",7.66,C,D4,P3,T4,S3
Capizzi,"3,051",70.17,Q,,,,
Capo d'Orlando,"13,295",14.43,C,D5,P3,T4,S4
Capri Leone,"4,414",6.76,P,D2,P3,T1,S2
Caronia,"3,214",227.26,P,D2,P2,T4,S2
Casalvecchio Siculo,775,33.62,Q,,,,
Castel di Lucio,"1,260",28.78,P,D1,P1,T1,S1
Castell'Umberto,"3,014",11.43,P,D2,P1,T4,S1
Castelmola,"1,118",16.83,G,D5,P3,T5,S5
Castroreale,"2,370",53.07,Q,,,,
Cesarò,"2,311",216.93,P,D4,P3,T4,S3
Condrò,486,5.13,Q,,,,
Falcone,"2,768",9.34,P,D4,P1,T4,S2
Ficarra,"1,394",18.66,C,D4,P2,T2,S2
Fiumedinisi,"1,362",36.69,P,D1,P1,T2,S1
Floresta,471,31.33,Q,,,,
Fondachelli-Fantina,"1,078",42.21,Q,,,,
Forza d'Agrò,887,11.19,C,D5,P2,T5,S5
Francavilla di Sicilia,"3,789",82.73,P,D3,P3,T5,S5
Frazzanò,657,7.00,Q,,,,
Furci Siculo,"3,298",17.91,C,D3,P3,T4,S3
Furnari,"3,820",13.55,C,D5,P3,T4,S5
Gaggi,"3,204",7.65,P,D4,P1,T4,S2
Galati Mamertino,"2,464",39.31,Q,,,,
Gallodoro,347,6.91,Q,,,,
Giardini-Naxos,"9,325",5.29,G,D5,P5,T5,S5
Gioiosa Marea,"6,904",26.48,C,D5,P3,T5,S5
Graniti,"1,469",10.05,C,D3,P4,T5,S4
Gualtieri Sicaminò,"1,710",14.38,Q,,,,
Itala,"1,535",10.98,Q,,,,
Leni,706,8.79,G,D5,P1,T5,S5
Letojanni,"2,822",6.72,C,D5,P5,T5,S5
Librizzi,"1,616",23.39,Q,,,,
Limina,761,9.99,Q,,,,
Lipari,"12,821",89.71,G,D5,P5,T5,S5
Longi,"1,405",42.11,P,D3,P1,T2,S1
Malfa,"1,008",8.74,G,D5,P5,T5,S5
Malvagna,666,6.71,Q,,,,
Mandanici,569,11.85,Q,,,,
Mazzarrà Sant'Andrea,"1,493",6.69,Q,,,,
Merì,"2,319",1.85,Q,,,,
Messina,"232,555",213.76,C,D4,P4,T4,S4
Milazzo,"31,028",24.70,C,D5,P4,T4,S4
Militello Rosmarino,"1,269",29.54,Q,,,,
Mirto,938,9.27,C,D3,P4,T2,S3
Mistretta,"4,590",127.47,Q,,,,
Moio Alcantara,714,8.60,Q,,,,
Monforte San Giorgio,"2,685",32.26,Q,,,,
Mongiuffi Melia,582,24.36,Q,,,,
Montagnareale,"1,541",16.38,Q,,,,
Montalbano Elicona,"2,161",67.80,E,D4,P2,T4,S2
Motta Camastra,825,25.31,P,D4,P3,T5,S5
Motta d'Affermo,700,14.58,Q,,,,
Naso,"3,667",36.74,P,D2,P2,T2,S2
Nizza di Sicilia,"3,641",13.42,P,D2,P1,T5,S4
Novara di Sicilia,"1,284",49.18,P,D2,P1,T4,S1
Oliveri,"2,113",10.43,C,D4,P2,T5,S4
Pace del Mela,"6,242",12.18,Q,,,,
Pagliara,"1,140",14.48,Q,,,,
Patti,"13,215",50.08,G,D5,P3,T4,S4
Pettineo,"1,282",30.62,Q,,,,
Piraino,"3,904",16.97,C,D5,P3,T4,S5
Raccuja,962,25.20,P,D1,P1,T5,S2
Reitano,772,14.12,Q,,,,
Roccafiorita,186,1.17,Q,,,,
Roccalumera,"4,119",8.91,C,D4,P4,T4,S4
Roccavaldina,"1,080",7.13,P,D1,P1,T1,S1
Roccella Valdemone,627,41.15,Q,,,,
Rodì Milici,"2,006",36.54,Q,,,,
Rometta,"6,598",32.12,P,D2,P2,T4,S2
San Filippo del Mela,"6,967",10.05,P,D3,P1,T2,S1
San Fratello,"3,523",67.63,Q,,,,
San Marco d'Alunzio,"1,889",26.14,P,D3,P1,T1,S1
San Pier Niceto,"2,733",36.68,P,D2,P2,T1,S1
San Piero Patti,"2,775",41.82,P,D3,P2,T4,S3
San Salvatore di Fitalia,"1,243",15.00,P,D3,P1,T4,S1
Santa Domenica Vittoria,930,20.16,E,D3,P3,T5,S4
Sant'Agata di Militello,"12,305",33.98,P,D4,P3,T4,S3
Sant'Alessio Siculo,"1,532",6.17,C,D5,P5,T5,S5
Santa Lucia del Mela,"4,582",85.67,Q,,,,
Santa Marina Salina,884,8.78,G,D5,P4,T5,S5
Sant'Angelo di Brolo,"2,972",30.39,Q,,,,
Santa Teresa di Riva,"9,394",8.12,P,D3,P2,T4,S2
San Teodoro,"1,337",13.97,Q,,,,
Santo Stefano di Camastra,"4,648",21.92,P,D4,P2,T4,S2
Saponara,"3,865",26.26,Q,,,,
Savoca,"1,761",9.08,G,D4,P3,T4,S4
Scaletta Zanclea,"1,972",4.76,Q,,,,
Sinagra,"2,628",24.03,P,D3,P1,T2,S1
Spadafora,"4,939",10.52,P,D2,P2,T4,S2
Taormina,"10,831",13.13,G,D5,P5,T5,S5
Torregrotta,"7,363",4.13,P,D3,P4,T4,S3
Tortorici,"6,155",70.50,P,D1,P1,T4,S1
Tripi,839,54.67,C,D4,P3,T4,S4
Tusa,"2,785",41.07,L,D4,P4,T5,S5
Ucria,998,26.26,Q,,,,
Valdina,"1,308",2.60,Q,,,,
Venetico,"4,014",4.52,P,D3,P2,T2,S2
Villafranca Tirrena,"8,390",14.25,C,D4,P3,T4,S3
Terme Vigliatore,"7,344",13.23,C,D5,P2,T4,S3
Acquedolci,"5,612",12.93,P,D3,P1,T4,S1
Torrenova,"4,474",12.93,P,D2,P3,T1,S2
Agrigento,"58,956",245.32,G,D5,P5,T4,S4
Alessandria della Rocca,"2,803",62.24,Q,,,,
Aragona,"9,362",74.70,P,D1,P2,T1,S1
Bivona,"3,525",88.57,P,D1,P3,T4,S3
Burgio,"2,605",42.23,Q,,,,
Calamonaci,"1,293",32.89,Q,,,,
Caltabellotta,"3,502",124.09,Q,,,,
Camastra,"2,009",16.32,Q,,,,
Cammarata,"6,129",192.45,E,D2,P4,T2,S3
Campobello di Licata,"9,737",81.33,P,D1,P1,T1,S1
Canicattì,"35,778",91.86,P,D2,P3,T1,S2
Casteltermini,"7,858",99.98,P,D1,P1,T2,S1
Castrofilippo,"2,865",18.08,P,D1,P2,T4,S3
Cattolica Eraclea,"3,591",62.16,G,D4,P1,T4,S3
Cianciana,"3,372",38.08,Q,,,,
Comitini,930,21.89,Q,,,,
Favara,"32,059",81.88,P,D2,P2,T2,S2
Grotte,"5,556",23.98,Q,,,,
Joppolo Giancaxio,"1,178",19.14,Q,,,,
Lampedusa e Linosa,"6,556",25.22,C,D5,P5,T5,S5
Licata,"36,505",179.95,C,D5,P3,T4,S3
Lucca Sicula,"1,759",18.63,Q,,,,
Menfi,"12,413",113.58,C,D4,P2,T4,S2
Montallegro,"2,494",27.41,P,D3,P1,T4,S3
Montevago,"2,929",32.91,P,D1,P3,T4,S3
Naro,"7,479",207.49,Q,,,,
Palma di Montechiaro,"22,503",77.06,P,D3,P2,T2,S2
Porto Empedocle,"16,513",25.23,C,D4,P4,T4,S4
Racalmuto,"8,068",68.10,P,D2,P2,T1,S1
Raffadali,"12,579",22.30,P,D1,P2,T2,S1
Ravanusa,"11,327",49.50,P,D1,P1,T1,S1
Realmonte,"4,574",20.37,C,D4,P2,T4,S3
Ribera,"18,711",118.52,C,D3,P1,T2,S1
Sambuca di Sicilia,"5,770",96.37,P,D3,P3,T4,S3
San Biagio Platani,"3,139",42.67,Q,,,,
San Giovanni Gemini,"7,901",26.56,P,D1,P3,T2,S2
Santa Elisabetta,"2,308",16.17,Q,,,,
Santa Margherita di Belice,"6,327",67.28,P,D1,P2,T2,S1
Sant'Angelo Muxaro,"1,291",64.52,P,D2,P1,T4,S1
Santo Stefano Quisquina,"4,441",85.52,E,D3,P3,T2,S3
Sciacca,"40,341",191.67,C,D5,P4,T4,S5
Siculiana,"4,456",40.99,C,D4,P4,T5,S4
Villafranca Sicula,"1,378",17.63,Q,,,,
Acquaviva Platani,928,14.63,Q,,,,
Bompensiere,542,19.95,P,D3,P2,T2,S1
Butera,"4,541",298.52,C,D5,P4,T4,S5
Caltanissetta,"61,064",421.25,P,D4,P4,T2,S3
Campofranco,"2,937",36.11,P,D1,P2,T4,S2
Delia,"4,123",12.40,Q,,,,
Gela,"73,854",279.22,P,D3,P4,T2,S3
Marianopoli,"1,775",13.07,Q,,,,
Mazzarino,"11,633",295.59,P,D1,P1,T4,S1
Milena,"2,924",24.63,Q,,,,
Montedoro,"1,502",14.53,P,D1,P1,T2,S1
Mussomeli,"10,405",164.42,P,D2,P3,T2,S2
Niscemi,"26,627",96.82,Q,,,,
Resuttano,"1,911",38.27,Q,,,,
Riesi,"11,291",67.00,P,D1,P2,T1,S1
San Cataldo,"22,393",72.77,P,D2,P3,T4,S3
Santa Caterina Villarmosa,"5,125",75.81,Q,,,,
Serradifalco,"5,891",41.94,P,D1,P2,T4,S2
Sommatino,"6,777",34.76,P,D1,P4,T1,S3
Sutera,"1,320",35.58,P,D3,P2,T2,S2
Vallelunga Pratameno,"3,331",39.37,Q,,,,
Villalba,"1,564",41.82,P,D2,P1,T1,S1
Agira,"8,132",164.08,P,D1,P3,T2,S2
Aidone,"4,825",210.78,P,D1,P2,T2,S2
Assoro,"5,036",112.15,P,D1,P3,T1,S2
Barrafranca,"12,800",53.71,P,D1,P3,T2,S2
Calascibetta,"4,379",89.12,P,D1,P3,T4,S2
Catenanuova,"4,696",11.22,P,D1,P4,T2,S3
Centuripe,"5,361",174.19,P,D2,P2,T2,S2
Cerami,"1,952",95.05,P,D2,P1,T4,S1
Enna,"27,004",358.74,H,D4,P4,T4,S4
Gagliano Castelferrato,"3,518",56.24,P,D1,P4,T1,S2
Leonforte,"12,962",84.39,P,D1,P2,T2,S2
Nicosia,"13,415",218.51,P,D2,P3,T2,S2
Nissoria,"3,001",61.82,P,D1,P3,T2,S2
Piazza Armerina,"21,726",304.54,H,D4,P4,T4,S3
Pietraperzia,"6,768",118.11,P,D1,P2,T2,S2
Regalbuto,"7,093",170.29,P,D1,P4,T2,S3
Sperlinga,737,59.14,Q,,,,
Troina,"9,094",168.28,H,D2,P5,T2,S4
Valguarnera Caropepe,"7,557",9.41,P,D1,P3,T2,S3
Villarosa,"4,732",54.89,P,D1,P2,T2,S1
Aci Bonaccorsi,"3,548",1.72,P,D1,P2,T4,S2
Aci Castello,"18,480",8.71,G,D5,P5,T5,S5
Aci Catena,"29,073",8.52,P,D2,P5,T4,S4
Acireale,"52,065",40.44,G,D5,P4,T4,S4
Aci Sant'Antonio,"18,135",14.33,P,D1,P3,T2,S2
Adrano,"35,430",83.22,P,D1,P3,T4,S2
Belpasso,"28,083",166.33,P,D2,P3,T2,S2
Biancavilla,"23,832",70.28,P,D1,P5,T1,S3
Bronte,"18,856",250.86,P,D1,P3,T2,S2
Calatabiano,"5,197",26.42,C,D4,P3,T5,S4
Caltagirone,"37,883",383.37,H,D3,P4,T4,S3
Camporotondo Etneo,"5,149",6.55,Q,,,,
Castel di Iudica,"4,495",103.21,P,D1,P1,T2,S1
Castiglione di Sicilia,"3,129",118.90,H,D5,P4,T5,S5
Catania,"311,584",182.80,A,D5,P5,T4,S5
Fiumefreddo di Sicilia,"9,438",12.16,P,D2,P4,T4,S3
Giarre,"27,444",27.35,P,D2,P4,T4,S3
Grammichele,"13,152",31.02,P,D2,P4,T1,S2
Gravina di Catania,"25,424",5.13,P,D2,P3,T2,S2
Licodia Eubea,"3,078",112.45,P,D1,P3,T2,S2
Linguaglossa,"5,270",60.25,B,D4,P4,T4,S4
Maletto,"3,766",40.96,Q,,,,
Mascali,"14,337",37.85,G,D4,P4,T4,S4
Mascalucia,"32,200",16.31,P,D2,P3,T4,S3
Militello in Val di Catania,"7,186",62.47,P,D1,P3,T2,S2
Milo,"1,054",16.67,L,D4,P3,T5,S5
Mineo,"5,334",246.32,Q,,,,
Mirabella Imbaccari,"4,682",15.30,P,D1,P1,T1,S1
Misterbianco,"50,037",37.69,P,D2,P4,T2,S3
Motta Sant'Anastasia,"12,178",35.70,P,D3,P4,T4,S4
Nicolosi,"7,484",42.65,H,D4,P4,T5,S5
Palagonia,"16,488",57.79,P,D2,P5,T1,S5
Paternò,"47,600",144.68,P,D1,P2,T1,S1
Pedara,"14,673",19.24,P,D3,P3,T4,S3
Piedimonte Etneo,"3,950",26.54,P,D2,P2,T2,S1
Raddusa,"3,049",23.39,Q,,,,
Ramacca,"10,826",306.43,P,D1,P3,T2,S2
Randazzo,"10,712",205.61,H,D2,P4,T4,S3
Riposto,"14,610",13.21,C,D4,P3,T4,S3
San Cono,"2,647",6.63,Q,,,,
San Giovanni la Punta,"23,562",10.85,C,D4,P5,T2,S4
San Gregorio di Catania,"11,811",5.65,C,D3,P5,T2,S4
San Michele di Ganzaria,"3,196",25.81,P,D2,P5,T4,S4
San Pietro Clarenza,"8,002",6.27,P,D1,P4,T2,S2
Sant'Agata li Battiati,"9,411",3.12,P,D2,P2,T4,S2
Sant'Alfio,"1,570",25.86,B,D4,P3,T5,S4
Santa Maria di Licodia,"7,682",26.28,P,D2,P5,T2,S4
Santa Venerina,"8,533",19.03,C,D3,P4,T1,S2
Scordia,"16,887",24.31,P,D1,P3,T2,S2
Trecastagni,"11,092",19.16,P,D3,P3,T4,S3
Tremestieri Etneo,"20,267",6.49,P,D1,P4,T1,S2
Valverde,"7,901",5.52,P,D1,P3,T4,S3
Viagrande,"8,783",10.09,G,D4,P5,T2,S4
Vizzini,"6,029",126.75,P,D1,P3,T4,S3
Zafferana Etnea,"9,625",76.87,B,D4,P5,T4,S4
Mazzarrone,"4,026",34.78,P,D1,P2,T1,S1
Maniace,"3,747",37.70,P,D1,P2,T2,S1
Ragalna,"4,020",39.53,P,D2,P3,T4,S3
Acate,"11,431",102.47,P,D1,P2,T1,S1
Chiaramonte Gulfi,"8,128",127.37,E,D3,P3,T4,S3
Comiso,"30,073",65.40,P,D2,P4,T1,S2
Giarratana,"2,923",43.63,Q,,,,
Ispica,"16,317",113.75,C,D4,P2,T2,S2
Modica,"54,268",292.37,G,D5,P4,T4,S4
Monterosso Almo,"2,942",56.55,P,D1,P1,T4,S1
Pozzallo,"19,427",15.38,C,D4,P3,T4,S4
Ragusa,"73,373",444.71,G,D5,P4,T4,S5
Santa Croce Camerina,"11,009",41.08,C,D5,P4,T4,S4
Scicli,"26,962",138.72,G,D4,P3,T4,S4
Vittoria,"64,040",182.47,P,D3,P3,T2,S2
Augusta,"35,872",111.16,C,D4,P4,T2,S3
Avola,"31,218",74.59,P,D4,P2,T4,S3
Buccheri,"1,924",57.83,P,D2,P1,T4,S1
Buscemi,"1,007",52.05,P,D3,P1,T1,S1
Canicattini Bagni,"6,933",15.06,P,D1,P1,T4,S1
Carlentini,"17,629",158.91,P,D2,P4,T2,S3
Cassaro,769,19.62,Q,,,,
Ferla,"2,425",24.90,B,D3,P3,T4,S3
Floridia,"22,665",26.48,P,D2,P3,T4,S2
Francofonte,"12,453",74.20,P,D1,P2,T2,S1
Lentini,"23,101",216.78,P,D1,P4,T2,S3
Melilli,"13,611",136.42,C,D2,P4,T2,S3
Noto,"24,192",554.98,G,D5,P4,T5,S5
Pachino,"22,144",50.98,P,D2,P2,T4,S3
Palazzolo Acreide,"8,569",87.53,P,D3,P2,T4,S3
Rosolini,"21,198",76.47,P,D1,P1,T2,S1
Siracusa,"121,171",207.82,G,D5,P5,T4,S5
Solarino,"8,097",13.02,P,D3,P1,T4,S2
Sortino,"8,486",93.33,P,D1,P1,T4,S2
Portopalo di Capo Passero,"3,937",15.09,C,D4,P3,T5,S5
Priolo Gargallo,"11,823",56.96,P,D2,P3,T1,S1
Aggius,"1,457",86.30,B,D3,P2,T5,S5
Alà dei Sardi,"1,856",197.99,Q,,,,
Alghero,"43,931",225.41,G,D5,P5,T5,S5
Anela,618,36.89,Q,,,,
Ardara,774,38.19,Q,,,,
Arzachena,"13,835",230.85,G,D5,P5,T5,S5
Banari,557,21.25,P,D2,P1,T5,S5
Benetutti,"1,804",94.45,P,D4,P2,T4,S2
Berchidda,"2,715",201.88,P,D4,P2,T5,S5
Bessude,408,26.79,Q,,,,
Bonnanaro,950,21.84,P,D2,P1,T1,S1
Bono,"3,494",74.54,P,D2,P1,T4,S2
Bonorva,"3,340",149.74,P,D2,P1,T4,S2
Bortigiadas,752,75.90,Q,,,,
Borutta,277,4.76,Q,,,,
Bottidda,679,33.71,P,D1,P2,T2,S2
Buddusò,"3,822",176.84,P,D3,P2,T2,S2
Bultei,900,96.83,P,D1,P1,T2,S1
Bulzi,502,21.67,Q,,,,
Burgos,896,18.08,Q,,,,
Calangianus,"4,049",126.84,Q,,,,
Cargeghe,641,12.05,Q,,,,
Castelsardo,"5,893",43.34,G,D5,P5,T5,S5
Cheremule,426,24.25,P,D2,P1,T4,S2
Chiaramonti,"1,613",98.61,P,D2,P1,T2,S1
Codrongianos,"1,307",30.39,B,D1,P4,T5,S4
Cossoine,830,39.17,Q,,,,
Esporlatu,382,18.40,Q,,,,
Florinas,"1,507",36.06,P,D1,P1,T1,S1
Giave,512,47.07,Q,,,,
Illorai,830,57.19,Q,,,,
Ittireddu,486,23.69,Q,,,,
Ittiri,"8,464",111.46,P,D1,P1,T1,S1
Laerru,879,19.85,Q,,,,
La Maddalena,"11,192",51.67,G,D5,P4,T5,S5
Luogosanto,"1,849",135.07,P,D4,P3,T4,S3
Luras,"2,489",87.59,P,D3,P2,T4,S3
Mara,579,18.64,P,D2,P3,T1,S1
Martis,491,22.96,Q,,,,
Monteleone Rocca Doria,99,13.39,Q,,,,
Monti,"2,392",123.82,P,D3,P1,T4,S1
Mores,"1,900",94.85,Q,,,,
Muros,857,11.23,Q,,,,
Nughedu San Nicolò,794,67.89,P,D4,P1,T4,S2
Nule,"1,351",51.95,Q,,,,
Nulvi,"2,715",67.38,P,D3,P1,T4,S2
Olbia,"60,731",383.64,G,D5,P5,T5,S5
Olmedo,"4,177",33.47,P,D3,P1,T4,S3
Oschiri,"3,195",215.61,P,D2,P1,T4,S2
Osilo,"2,978",98.03,P,D2,P1,T2,S1
Ossi,"5,707",30.09,P,D1,P1,T4,S1
Ozieri,"10,454",252.13,P,D2,P3,T1,S2
Padria,632,48.39,Q,,,,
Palau,"4,196",44.44,C,D5,P5,T5,S5
Pattada,"2,990",164.88,P,D2,P2,T2,S1
Perfugas,"2,353",60.88,P,D2,P1,T5,S5
Ploaghe,"4,481",96.27,P,D1,P1,T4,S1
Porto Torres,"22,126",104.51,G,D3,P3,T4,S3
Pozzomaggiore,"2,569",78.77,P,D1,P1,T4,S2
Putifigari,720,53.10,Q,,,,
Romana,537,21.60,Q,,,,
Aglientu,"1,259",148.19,C,D5,P5,T5,S5
Santa Teresa Gallura,"5,377",102.28,G,D5,P5,T5,S5
Sassari,"126,870",547.03,P,D4,P4,T4,S4
Sedini,"1,332",40.51,Q,,,,
Semestene,144,39.58,Q,,,,
Sennori,"7,169",31.34,P,D1,P1,T4,S3
Siligo,855,43.45,Q,,,,
